numero,idProducto
6227667125342583118,884
2173261356369171844,528
1157342379167699795,484
8220455747341597896,708
5435600512500530264,576
6059732324560305375,122
0657072078295580113,978
9256133433461877248,885
9258041930853837387,394
8092773294015242901,49
2698909330473628313,735
1632444383934117430,731
8420528295561270311,511
3328344112920763826,186
3060868588616526068,464
3683441706378876141,498
9045017627270525058,97
8585038188994833824,691
5537974465186098900,952
4844775633019798871,779
5013482485704639786,519
6797624729973187636,27
4239316352619768539,406
7029164515066803751,788
4524044220703903164,103
4999658763215493121,475
5025613709044075708,934
5522796497089946526,633
2324509054791692690,369
3220065251528106881,676
8329844159788678729,101
8349721596275355079,132
3215199896253686266,938
9151392883536573745,829
6841469307912792860,890
0758330943756358103,953
4948039879836451844,623
2165478228951207473,461
9090642771419767573,960
3446046840051691868,266
9665897726864940553,218
0938613232539290756,874
9782387978353487866,495
4389836793084820761,510
2597090470790196275,434
4738213882912532717,798
6914844779429721446,442
0882435638147046573,771
6011978716190069845,417
6641883215679922269,772
0279474601631386478,664
4896139082355089344,716
8226526620133647922,778
5364488955870178248,975
9722651707963128009,366
3993967540048599096,789
4088318383511580754,501
9404857086522427038,216
6119929145565487486,718
4264007330822476865,57
7435604949624772990,917
9347441334436674216,420
1198391170675403074,66
1211581027760732093,489
0124375127090714071,630
8679406262092772994,692
3306864667984962349,806
5575337452945160388,963
5002370082054483806,80
7001908928222503053,646
2376998951024671762,446
5329651195489259745,380
5144691033066590962,228
7716301720870968112,556
7528072261254713820,805
2106266247975929208,720
9850931973325571258,505
5510323545281373572,826
0201724342051505467,458
6938694171849638657,12
5889562473497911277,317
2758706626896665951,414
9511024941340922975,526
2282080950714394309,345
6464131608039423883,361
7254401965914068099,969
7455093487259739248,422
4016426308567094799,322
5003965872590514062,850
6034890400999904361,579
6944727266198171607,82
5145462827361610652,855
0229231932506875974,198
9126691089159953522,288
3949401012616263400,491
7068463327668320427,281
3966352527651029783,402
4625316652643843862,923
1431405713085042929,108
0244301467850441212,193
1741106092662635388,33
1363336710021114245,175
7532295520758273126,686
3378504062725036701,825
0652057293854354054,892
2534583861325044507,234
7369840331058142929,169
7242647274378224561,521
9738212979246955384,340
0395679486820995367,785
4909639843033752771,832
7561208080184001374,378
9562226703308191540,160
1160277097318141399,333
0824649569070071162,465
1069727291177908985,257
8243690287024869733,989
6768310126131307018,135
5945462638475086954,995
5241627953654053917,3
6330991853501679182,980
9628143138092520395,307
9530424535516027436,113
1990224033675324621,64
4749686324488808868,230
0064790432816020812,121
5053710181902704453,275
6162880402546598722,523
3334094645040030550,504
3754950603302565743,525
5653645506647288652,203
5414949090803917831,363
7217014744097499077,240
4023243520684553285,415
4306132942103968785,615
9874906620996216434,387
8371234893316466539,444
5909985831659322385,286
0723667542912058025,547
2947367637554616748,166
3913638116503496366,791
0123164817216321867,229
6261873482245419657,991
3656948438473959643,204
5068364462099583455,567
1136531530990682418,75
6909138275108354576,51
0506849966298322520,915
4931052754691986760,483
9421054897281041697,152
5324500027756623058,817
3208962626653240288,898
7103753971867804256,499
3805720656887456902,629
6437679472143368857,603
1519482848003377412,256
